"Serial","Name","Third party identifier","Communication status","Timestamp","State","Source","Lat","Lon","Accuracy","Address","Geozones"
"1NFMDP","NJ Veh. SNT4 1NFMDP","","ONLINE","2025-11-12T10:32:00+0000","STOP","GPS","52.37617","-2.06355","15","Wildmoor Mill","Bromsgrove HQ"
"1XDQLD","CD Veh. SNT4 1XDQLD","","ONLINE","2025-11-12T13:15:00+0000","START","GPS","52.39673","-2.00723","8","Park Way, Rednal, B45 9PG, United Kingdom",""
"1YTDMQ","SNT4 1YTDMQ","","ONLINE","2025-11-09T14:50:00+0000","STOP","GPS","52.37638","-2.06316","23","Wildmoor Mill","Bromsgrove HQ"
"21NW42","Caroline's Nirvara","SNT3.5 21NW42","ONLINE","2025-11-12T09:40:00+0000","STOP","GPS","53.58696","-2.21211","5","Gooden Street, Hopwood, Heywood, OL10 2BU, United Kingdom",""
"246H42","OYSTER2-4G 246H42","","READY_FOR_USE","","","","0.0","0.0","","",""
"27E4PY","WHS 27E4PY","","OFFLINE","2025-06-11T15:26:00+0000","START","GPS","52.58026","-1.12525","20","Magna Road, South Wigston, Oadby and Wigston, LE18 4ZD, United Kingdom",""
"3AUCKW","SNT4 3AUCKW","","ONLINE","2025-11-05T12:47:00+0000","STOP","GPS","52.37636","-2.06311","23","Wildmoor Mill","Bromsgrove HQ"
"3CV13W","SNT4 3CV13W","","ONLINE","2025-11-12T07:16:00+0000","STOP","WIFI","52.37584836","-2.06379976","15","Wildmoor Mill","Bromsgrove HQ"
"3ELFPC","SNT4 3ELFPC","","ONLINE","2025-11-07T11:47:00+0000","STOP","WIFI","52.37584881","-2.06386668","15","Wildmoor Mill","Bromsgrove HQ"
"3GF1C7","SNT4 3GF1C7","","ONLINE","2025-11-11T16:55:00+0000","STOP","GPS","52.37635","-2.06333","23","Wildmoor Mill","Bromsgrove HQ"
"3HJUEU","AT Veh. SNT4 3HJUEU","","ONLINE","2025-11-12T12:37:00+0000","STOP","GPS","52.37531","-2.06532","6","Wildmoor Mill","Bromsgrove HQ"
"3P2L39","DS Veh. SNT4 3P2L39","","ONLINE","2025-11-12T13:24:00+0000","START","GPS","53.46411","-2.93065","18","Lower Lane, Fazakerley, Liverpool, L9 7AL, United Kingdom",""
"3PAYPW","ND Veh. SNT4 3PAYPW","","ONLINE","2025-11-12T09:30:00+0000","STOP","GPS","52.47054","-2.14157","22","Fimbrell Close, Withymoor Village, Amblecote, DY5 3FL, United Kingdom","ND House"
"4CCK1D","ACQSYS 4CCK1D","","ONLINE","2025-11-12T07:39:00+0000","STOP","GPS","51.79894","-0.80059","25","Mandeville Road, Walton Court, Aylesbury, HP21 8AL, United Kingdom",""
"4GQND1","ACQSYS 4GQND1","","ONLINE","2025-11-10T09:54:00+0000","START","GPS","51.58895","-2.83664","14","Magor with Undy, Magor, NP26 3YL, United Kingdom",""
"4H99XR","ACQSYS 4H99XR","","ONLINE","2025-11-12T11:05:00+0000","STOP","WIFI","53.33762066","-2.85545339","15","Hale Road, Speke, Liverpool, L24 3UP, United Kingdom",""
"4TK11H","4TK11H","","OFFLINE","2024-12-04T20:18:00+0000","START","GPS","51.63289","-0.26596","40","M1, London, NW7 3HB, United Kingdom","London Gateway Services"
"4V27D2","ACQSYS (SC) 4V27D2","","ONLINE","2025-11-11T18:10:00+0000","STOP","WIFI","52.896227","-1.444304","546","Benson Street, Crewton, Derby, DE24 8NR, United Kingdom",""
"4X4E73","ACQSYS 4X4E73","","ONLINE","2025-11-11T16:00:00+0000","STOP","GPS","52.3762","-2.06332","24","Wildmoor Mill","Bromsgrove HQ"
"4YLT3K","ACQSYS 4YLT3K","","ONLINE","2025-11-12T02:06:00+0000","STOP","GPS","51.58859","-2.83718","10","Magor with Undy, Magor, NP26 3YL, United Kingdom",""
