"Serial","Name","Third party identifier","Communication status","Timestamp","State","Source","Lat","Lon","Accuracy","Address","Geozones","Altitude (m)"
"1NFMDP","NJ Veh. SNT4 1NFMDP","","ONLINE","2026-02-17T08:01:00+0000","STOP","GPS","53.51018","-1.11824","17","DN45NP","Asda XPO 5, DN45NP, Doncaster Stadium, DN45NP, Tesco RRU, DN45NP","100"
"1XDQLD","CD Veh. SNT4 1XDQLD","","ONLINE","2026-02-17T02:16:00+0000","STOP","GPS","52.37619","-2.06365","23","Wildmoor Mill","Bromsgrove HQ","120"
"1YTDMQ","SNT4 1YTDMQ","","ONLINE","2026-02-16T16:12:00+0000","STOP","GPS","52.37627","-2.06329","19","Wildmoor Mill","Bromsgrove HQ","150"
"21NW42","Caroline's Nirvara","SNT3.5 21NW42","ONLINE","2026-02-16T18:59:00+0000","STOP","GPS","53.60246","-2.25367","20","New Hall Road, Jericho, Bury, Greater Manchester, England, BL9 7TQ, United Kingdom","",""
"246H42","OYSTER2-4G 246H42","","READY_FOR_USE","","","","0.0","0.0","","","",""
"27E4PY","WHS 27E4PY","","OFFLINE","2025-06-11T15:26:00+0000","START","GPS","52.58026","-1.12525","20","Magna Road, South Wigston, Oadby and Wigston, LE18 4ZD, United Kingdom","",""
"3AUCKW","SNT4 3AUCKW","","ONLINE","2026-02-14T01:18:00+0000","STOP","WIFI","52.37586379","-2.06290749","54","Mill Lane, Fairfield, Bromsgrove, Worcestershire, England, B61 0BX, United Kingdom","Bromsgrove HQ",""
"3CV13W","SNT4 3CV13W","","ONLINE","2026-02-14T07:49:00+0000","STOP","GPS","52.37635","-2.06302","23","Wildmoor Mill","Bromsgrove HQ","100"
"3ELFPC","SNT4 3ELFPC","","ONLINE","2026-02-13T12:14:00+0000","STOP","WIFI","52.37586379","-2.06290749","54","Mill Lane, Fairfield, Bromsgrove, Worcestershire, England, B61 0BX, United Kingdom","Bromsgrove HQ",""
"3GF1C7","SNT4 3GF1C7","","ONLINE","2026-02-17T05:30:00+0000","STOP","WIFI","52.37586379","-2.06290749","54","Mill Lane, Fairfield, Bromsgrove, Worcestershire, England, B61 0BX, United Kingdom","Bromsgrove HQ",""
