"Serial","Name","Third party identifier","Timestamp","State","Lat","Lon","Geozones","Accuracy","Fixtime","Source","Address","Speed","Heading","Altitude (m)"
"92RA12","92RA12",,"2026-01-21T12:56:00+0000","PERIODIC","52.37681","-2.06393","Bromsgrove HQ","20","260","gps","Wildmoor Mill","","",""
"92RA12","92RA12",,"2026-02-14T12:59:00+0000","PERIODIC","52.37634","-2.06401","Bromsgrove HQ","40","132","gps","Wildmoor Mill","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-18T17:53:00+0000","PERIODIC","52.58267","-0.28206","","23","47","gps","Soke Parkway, South Bretton, Peterborough, PE3 9XQ, United Kingdom","0.0","49.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-18T20:05:00+0000","START","52.58294","-0.28263","","24","109","gps","Middleton, South Bretton, Peterborough, PE3 9XJ, United Kingdom","0.0","62.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-18T22:16:00+0000","STOP","52.40214","-1.26559","","24","113","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","0.0","83.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-18T22:55:00+0000","START","52.40214","-1.26559","","24","113","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","0.0","83.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-18T23:04:00+0000","STOP","52.4027","-1.26542","","23","46","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1HS, United Kingdom","2.0","132.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-19T11:15:00+0000","START","52.4027","-1.26542","","23","46","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1HS, United Kingdom","2.0","132.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-19T12:36:00+0000","STOP","52.40234894","-1.26457707","","25","","wifi","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-19T17:53:00+0000","PERIODIC","52.4115","-1.269","","10000","","network","M6, Pailton CP, CV23 0QA, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-20T01:33:00+0000","START","52.40234894","-1.26457707","","25","","wifi","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-20T01:40:00+0000","STOP","52.40215","-1.2653","","80","116","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","1.0","30.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-20T02:11:00+0000","START","52.40215","-1.2653","","80","116","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","1.0","30.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-20T02:11:00+0000","STOP","52.40244","-1.26502","","16","40","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","0.0","199.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-20T06:01:00+0000","START","52.40244","-1.26502","","16","40","gps","Cosford Lane, Cosford CP, Newbold on Avon, CV21 1TN, United Kingdom","0.0","199.0",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-20T09:36:00+0000","STOP","52.17775248","-2.21279629","","15","","wifi","Timberdine Close, Diglis, Worcester, WR5 2DD, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-20T17:53:00+0000","PERIODIC","52.17778581","-2.21276372","","15","","wifi","Timberdine Close, Diglis, Worcester, WR5 2DD, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-21T17:53:00+0000","PERIODIC","52.1797","-2.2028","","10000","","network","Battenhall Avenue, Red Hill, Worcester, WR5 2HN, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-22T17:53:00+0000","PERIODIC","52.17778581","-2.21276372","","15","","wifi","Timberdine Close, Diglis, Worcester, WR5 2DD, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-23T17:53:00+0000","PERIODIC","52.1797","-2.2028","","10000","","network","Battenhall Avenue, Red Hill, Worcester, WR5 2HN, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-24T17:53:00+0000","PERIODIC","52.17771588","-2.21278974","","16","","wifi","Timberdine Close, Diglis, Worcester, WR5 2DD, United Kingdom","","",""
"4CCK1D","ACQSYS 4CCK1D",,"2026-01-25T11:14:00+0000","START","52.17775248","-2.21279629","","15","","wifi","Timberdine Close, Diglis, Worcester, WR5 2DD, United Kingdom","","",""
